model_id,checkpoint_stage,kd_steps,benchmark,metric,value,unit,numerator,denominator,sample_count,repetition,evaluation_contract_id,row_selection_identity_sha256,row_manifest_sha256,evaluator_id,cohort
architecture_2a343aec3100a1b4,post_kd,256,mmmu_val,accuracy,0.325,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
architecture_2a343aec3100a1b4,post_kd,256,mvbench_macro,macro_accuracy,0.375,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
architecture_2a343aec3100a1b4,pre_kd,,realworldqa,exact_match_flexible_extract,0.4375,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
architecture_2a343aec3100a1b4,pre_kd,,mmmu_val,accuracy,0.225,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
architecture_2a343aec3100a1b4,pre_kd,,mvbench_macro,macro_accuracy,0.25625,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
architecture_f01974e675dc335b,post_kd,64,realworldqa,exact_match_flexible_extract,0.625,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_f01974e675dc335b,post_kd,64,mmmu_val,accuracy,0.30833,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_f01974e675dc335b,post_kd,64,mvbench_macro,macro_accuracy,0.35970238,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_f01974e675dc335b,post_kd,128,realworldqa,exact_match_flexible_extract,0.59375,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_f01974e675dc335b,post_kd,128,mmmu_val,accuracy,0.34167,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_f01974e675dc335b,post_kd,128,mvbench_macro,macro_accuracy,0.34065476,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_f01974e675dc335b,post_kd,256,realworldqa,exact_match_flexible_extract,0.546875,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_f01974e675dc335b,post_kd,256,mmmu_val,accuracy,0.30833,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_f01974e675dc335b,post_kd,256,mvbench_macro,macro_accuracy,0.35625,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_f01974e675dc335b,pre_kd,,realworldqa,exact_match_flexible_extract,0.296875,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_f01974e675dc335b,pre_kd,,mmmu_val,accuracy,0.25,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_f01974e675dc335b,pre_kd,,mvbench_macro,macro_accuracy,0.24375,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_1
architecture_abbb430e18472a62,post_kd,64,realworldqa,exact_match_flexible_extract,0.5,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_abbb430e18472a62,post_kd,64,mmmu_val,accuracy,0.21667,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_abbb430e18472a62,post_kd,64,mvbench_macro,macro_accuracy,0.2847619,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_abbb430e18472a62,post_kd,128,realworldqa,exact_match_flexible_extract,0.484375,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_abbb430e18472a62,post_kd,128,mmmu_val,accuracy,0.30833,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_abbb430e18472a62,post_kd,128,mvbench_macro,macro_accuracy,0.32642857,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_abbb430e18472a62,post_kd,256,realworldqa,exact_match_flexible_extract,0.515625,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_abbb430e18472a62,post_kd,256,mmmu_val,accuracy,0.275,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_abbb430e18472a62,post_kd,256,mvbench_macro,macro_accuracy,0.30267857,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_abbb430e18472a62,pre_kd,,realworldqa,exact_match_flexible_extract,0.125,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_abbb430e18472a62,pre_kd,,mmmu_val,accuracy,0.26667,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_abbb430e18472a62,pre_kd,,mvbench_macro,macro_accuracy,0.1375,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_90
architecture_60ef4164a42c59b3,post_kd,64,realworldqa,exact_match_flexible_extract,0.484375,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_60ef4164a42c59b3,post_kd,64,mmmu_val,accuracy,0.34167,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_60ef4164a42c59b3,post_kd,64,mvbench_macro,macro_accuracy,0.10375,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_60ef4164a42c59b3,post_kd,128,realworldqa,exact_match_flexible_extract,0.453125,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_60ef4164a42c59b3,post_kd,128,mmmu_val,accuracy,0.25,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_60ef4164a42c59b3,post_kd,128,mvbench_macro,macro_accuracy,0.16339286,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_60ef4164a42c59b3,post_kd,256,realworldqa,exact_match_flexible_extract,0.46875,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_60ef4164a42c59b3,post_kd,256,mmmu_val,accuracy,0.24167,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_60ef4164a42c59b3,post_kd,256,mvbench_macro,macro_accuracy,0.13839286,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_60ef4164a42c59b3,pre_kd,,realworldqa,exact_match_flexible_extract,0.109375,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_60ef4164a42c59b3,pre_kd,,mmmu_val,accuracy,0.25,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_60ef4164a42c59b3,pre_kd,,mvbench_macro,macro_accuracy,0.10625,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_85
architecture_9f4b0f4244aaca1c,post_kd,64,realworldqa,exact_match_flexible_extract,0.625,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,control_ffn_3328
architecture_9f4b0f4244aaca1c,post_kd,64,mmmu_val,accuracy,0.325,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,control_ffn_3328
architecture_9f4b0f4244aaca1c,post_kd,64,mvbench_macro,macro_accuracy,0.39375,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,control_ffn_3328
architecture_9f4b0f4244aaca1c,post_kd,128,realworldqa,exact_match_flexible_extract,0.640625,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,control_ffn_3328
